time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-02T21:16:50.530Z,38.7876667,-122.7821667,2.72,3.59,mw,98,26,0.007106,0.06,nc,nc73854486,2023-03-03T16:38:07.618Z,"2km WNW of The Geysers, CA",earthquake,0.09,0.14,,6,reviewed,nc,nc
2023-03-02T21:16:17.210Z,38.7908333,-122.7758333,3.83,3.35,ml,109,25,0.00973,0.07,nc,nc73854491,2023-03-03T05:47:00.713Z,"2km NW of The Geysers, CA",earthquake,0.08,0.11,0.143,50,reviewed,nc,nc
2023-03-02T11:54:33.640Z,39.379,-122.8986667,9.58,2.72,md,87,61,0.1778,0.18,nc,nc73854361,2023-03-02T21:40:19.226Z,"6km ESE of Lake Pillsbury, CA",earthquake,0.19,0.41,0.264,94,reviewed,nc,nc
2023-03-02T09:09:37.904Z,37.2336,-104.5005,7.413,2.8,ml,15,71,0.119,0.78,us,us7000jgsg,2023-03-02T18:00:16.117Z,"Colorado",earthquake,1.95,6.121,0.066,30,reviewed,us,us
2023-03-02T00:38:17.981Z,31.68316872,-104.4116693,4.614794922,3,ml,15,72,0.03211105239,0.2,tx,tx2023efrl,2023-03-02T00:56:12.962Z,"54 km S of Whites City, New Mexico",earthquake,0.7181937489,0.8937067366,0.1,13,reviewed,tx,tx
2023-03-01T23:08:40.778Z,31.6792,-104.4618,11.314,2.5,ml,27,76,0.035,0.4,us,us7000jgp0,2023-03-01T23:26:40.040Z,"55 km S of Whites City, New Mexico",earthquake,2.29,4.972,0.074,44,reviewed,us,us
2023-03-01T11:35:43.760Z,48.6185,-123.03966666666666,14.23,2.73,ml,20,126,0.01791,0.17,uw,uw61900332,2023-03-03T07:51:58.891Z,"7 km WNW of Orcas, Washington",earthquake,0.35,0.44,0.18001598316856549,20,reviewed,uw,uw
2023-03-01T10:39:32.683Z,31.63969102,-104.1774567,6.080151367,2.6,ml,29,75,0.07573993338,0.2,tx,tx2023eepu,2023-03-02T08:22:17.040Z,"western Texas",earthquake,0.6065748042,0.8883209193,0.1,23,reviewed,tx,tx
2023-03-01T08:56:39.060Z,42.6933333,-111.2,1.58,2.57,ml,20,132,0.1028,0.22,uu,uu60532326,2023-03-02T22:58:59.629Z,"17 km W of Fairview, Wyoming",earthquake,0.76,2.02,0.171,7,reviewed,uu,uu
2023-03-01T07:09:40.820Z,38.8286667,-122.8148333,1.96,3.3,ml,97,18,0.006444,0.06,nc,nc73853396,2023-03-03T06:47:15.171Z,"8km NW of The Geysers, CA",earthquake,0.08,0.12,0.191,96,reviewed,nc,nc
2023-03-01T05:09:37.248Z,31.71531949,-104.3034427,6.697143555000001,2.6,ml,32,72,0.05474446538,0.2,tx,tx2023eeex,2023-03-01T18:56:48.551Z,"51 km S of Whites City, New Mexico",earthquake,0.6894871172,0.6212722763,0.1,25,reviewed,tx,tx
